TEAM,OffRtg,DefRtg,NetRtg,AST%,AST/TO,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS
Thunder,119.2,106.6,12.7,0.602,2.29,0.281,0.704,0.496,0.116,0.56,0.593,100.9,0.562,101.0487805
Cavs,121,111.8,9.2,0.631,2.13,0.296,0.7,0.505,0.131,0.578,0.607,100.31,0.546,100.8170732
Celtics,119.5,110.1,9.4,0.628,2.2,0.291,0.717,0.506,0.122,0.561,0.591,96.59,0.542,97.30487805
Rockets,114.9,110.3,4.6,0.549,1.68,0.363,0.715,0.533,0.14,0.523,0.553,99.03,0.515,99.5
Knicks,117.3,113.3,4,0.634,2.07,0.305,0.71,0.508,0.134,0.556,0.589,97.64,0.527,98.69512195
Nuggets,118.9,115.1,3.8,0.683,2.17,0.311,0.709,0.52,0.14,0.573,0.604,100.67,0.529,101.5609756
Pacers,115.4,113.3,2.1,0.671,2.22,0.254,0.705,0.483,0.13,0.562,0.594,100.76,0.521,101.7195122
Clippers,114.3,109.4,4.9,0.605,1.69,0.282,0.734,0.512,0.151,0.554,0.589,98.24,0.521,98.76829268
Lakers,115,113.8,1.2,0.635,1.86,0.273,0.702,0.495,0.142,0.557,0.593,98.34,0.511,98.58536585
Timberwolves,115.7,110.8,5,0.637,1.81,0.3,0.709,0.507,0.146,0.554,0.588,97.95,0.524,98.74390244
Warriors,114.2,111,3.2,0.714,2.07,0.314,0.716,0.509,0.141,0.536,0.568,99.37,0.515,99.67073171
Grizzlies,117.2,112.6,4.7,0.635,1.81,0.33,0.702,0.518,0.151,0.554,0.588,103.69,0.524,103.8170732
Bucks,115.1,112.7,2.4,0.607,1.91,0.235,0.725,0.491,0.133,0.568,0.598,99.92,0.513,100.3414634
Pistons,114.6,112.5,2.1,0.618,1.78,0.305,0.714,0.511,0.147,0.547,0.58,100.27,0.509,100.8292683
Magic,108.9,109.1,-0.2,0.603,1.62,0.302,0.72,0.501,0.147,0.51,0.55,96.51,0.497,96.76829268
Hawks,113.7,114.8,-1.1,0.682,1.91,0.3,0.715,0.503,0.149,0.546,0.579,103.41,0.498,103.9146341
Heat,112.4,112,0.4,0.653,1.94,0.263,0.724,0.496,0.138,0.544,0.576,97.08,0.505,98.36585366
Mavericks,113.7,115,-1.3,0.601,1.8,0.271,0.694,0.488,0.14,0.549,0.583,100.15,0.496,100.4634146
,,,,,,,,,,,,,,
,,,0.01,,,,,,,,,,,
,,,,,82,,,,,,,,,
